countrycode,year,rgdpe
HND,1953,3219.95
HND,1954,2999.9
HND,1955,3036.69
HND,1956,3433.89
HND,1957,3445.17
HND,1958,3580.52
HND,1959,3670.08
HND,1960,3650.58
HND,1961,3855.41
HND,1962,4085.86
HND,1963,4216.67
HND,1964,4529.26
HND,1965,4883.39
HND,1966,5004.09
HND,1967,5233.3
HND,1968,5618.06
HND,1969,5588.65
HND,1970,5663.82
HND,1971,5716.02
HND,1972,6106.4
HND,1973,6615.33
HND,1974,6274.17
HND,1975,6385.81
HND,1976,7632.82
HND,1977,8850.19
HND,1978,9431.73
HND,1979,9516.69
HND,1980,9679.54
HND,1981,9544.53
HND,1982,9551.16
HND,1983,9307.49
HND,1984,9824.41
HND,1985,10135.04
HND,1986,10757.3
HND,1987,11182.56
HND,1988,11921.14
HND,1989,12258.17
HND,1990,12186.09
HND,1991,12721.13
HND,1992,13198.04
HND,1993,13470.28
HND,1994,13542.7
HND,1995,14437.76
HND,1996,14806.81
HND,1997,15269.48
HND,1998,15722.81
HND,1999,14977.23
HND,2000,15993
HND,2001,16437.54
HND,2002,16986.55
HND,2003,17487.14
HND,2004,18033.5
HND,2005,19007.89
HND,2006,20077.3
HND,2007,20833.65
HND,2008,20806.06
HND,2009,21311.01
HND,2010,21789.89
HND,2011,22617.48
HRV,1950,
HRV,1951,
HRV,1952,
HRV,1953,
HRV,1954,
HRV,1955,
HRV,1956,
HRV,1957,
HRV,1958,
HRV,1959,
HRV,1960,
HRV,1961,
HRV,1962,
HRV,1963,
HRV,1964,
HRV,1965,
HRV,1966,
HRV,1967,
HRV,1968,
HRV,1969,
HRV,1970,
HRV,1971,
HRV,1972,
HRV,1973,
HRV,1974,
HRV,1975,
HRV,1976,
HRV,1977,
HRV,1978,
HRV,1979,
HRV,1980,
HRV,1981,
HRV,1982,
HRV,1983,
HRV,1984,
HRV,1985,
HRV,1986,
HRV,1987,
HRV,1988,
HRV,1989,
HRV,1990,59178.56
HRV,1991,46588.88
HRV,1992,41322.54
HRV,1993,37954.64
HRV,1994,40632.22
HRV,1995,43179.43
HRV,1996,46183.6
HRV,1997,50808.63
HRV,1998,53299.17
HRV,1999,52947.92
HRV,2000,54235.73
HRV,2001,55403.78
HRV,2002,57635.66
HRV,2003,60822.69
HRV,2004,64206.69
HRV,2005,65416.25
HRV,2006,69921.8
HRV,2007,77216.55
HRV,2008,80932.68
HRV,2009,77768.92
HRV,2010,76009.86
HRV,2011,76041.76
HUN,1950,
HUN,1951,
HUN,1952,
HUN,1953,
HUN,1954,
HUN,1955,
HUN,1956,
HUN,1957,
HUN,1958,
HUN,1959,
HUN,1960,
HUN,1961,
HUN,1962,
HUN,1963,
HUN,1964,
HUN,1965,
HUN,1966,
HUN,1967,
HUN,1968,
HUN,1969,
HUN,1970,51049.85
HUN,1971,53812.41
HUN,1972,56508.04
HUN,1973,59570.75
HUN,1974,59760.72
HUN,1975,61102.31
HUN,1976,67880.81
HUN,1977,75532.06
HUN,1978,83331.39
HUN,1979,91105.06
HUN,1980,99026.82
HUN,1981,100860.63
HUN,1982,101958.93
HUN,1983,100764.7
HUN,1984,101558.14
HUN,1985,100158.76
HUN,1986,102853.46
HUN,1987,109953.43
HUN,1988,113280.26
HUN,1989,117609.17
HUN,1990,117484.33
HUN,1991,105386.42
HUN,1992,107148.73
HUN,1993,113010.77
HUN,1994,120452.55
HUN,1995,126434.11
HUN,1996,125201.2
HUN,1997,128687.34
HUN,1998,132004.53
HUN,1999,134970.41
HUN,2000,140446.11
HUN,2001,154691.08
HUN,2002,164284.64
HUN,2003,163537.48
HUN,2004,167177.3
HUN,2005,167085.5
HUN,2006,173648.58
HUN,2007,178637.52
HUN,2008,185917.55
HUN,2009,182613.22
HUN,2010,187827.23
HUN,2011,188428.08
IDN,1950,
IDN,1951,
IDN,1952,
IDN,1953,
IDN,1954,
IDN,1955,
IDN,1956,
IDN,1957,
IDN,1958,
IDN,1959,
IDN,1960,76470.46
IDN,1961,77992.61
IDN,1962,85293.11
IDN,1963,82682.96
IDN,1964,83210.88
IDN,1965,82418.3
IDN,1966,78044.45
IDN,1967,82503.89
IDN,1968,89779.98
IDN,1969,88194.98
IDN,1970,97717.94
IDN,1971,104571.16
IDN,1972,115393.88
IDN,1973,132702.97
IDN,1974,158101.73
IDN,1975,161523.03
IDN,1976,173591.48
IDN,1977,193372.28
IDN,1978,207813.39
IDN,1979,245542.45
IDN,1980,284529.72
IDN,1981,309541.28
IDN,1982,315519.75
IDN,1983,338183.66
IDN,1984,361110.91
IDN,1985,373415.44
IDN,1986,375274.19
IDN,1987,393332.5
IDN,1988,409897.56
IDN,1989,451294.25
IDN,1990,505221.41
IDN,1991,548570.19
IDN,1992,593645.75
IDN,1993,635216.13
IDN,1994,682483.81
IDN,1995,742018.06
IDN,1996,810057.81
IDN,1997,834883.13
IDN,1998,764324.31
IDN,1999,726693.69
IDN,2000,700914.06
IDN,2001,713987.25
IDN,2002,706650.69
IDN,2003,706201.88
IDN,2004,763925
IDN,2005,825839.75
IDN,2006,861813.69
IDN,2007,896646.5
IDN,2008,963106.75
IDN,2009,992465.06
IDN,2010,1058258.13
IDN,2011,1141770.38
IND,1950,295305.78
IND,1951,307484.44
IND,1952,315820.34
IND,1953,332483.34
IND,1954,347122.22
IND,1955,354887.13
IND,1956,369075.53
IND,1957,368467.84
IND,1958,395562.94
IND,1959,404178.41
IND,1960,434306.16
IND,1961,450196.5
IND,1962,468704.41
IND,1963,501489.22
IND,1964,538797.94
IND,1965,529653.88
IND,1966,526746.31
IND,1967,567774.94
IND,1968,595166.06
IND,1969,660273.06
IND,1970,672006.94
IND,1971,696310.81
IND,1972,715935.31
IND,1973,757739.13
IND,1974,740163.19
IND,1975,817036.69
IND,1976,808954.44
IND,1977,809993.31
IND,1978,795919.06
IND,1979,742574.56
IND,1980,746803.31
IND,1981,746005.06
IND,1982,741597.69
IND,1983,751345.5
IND,1984,749795.06
IND,1985,761882.56
IND,1986,805800.06
IND,1987,858788.94
IND,1988,933498
IND,1989,1001298.44
IND,1990,1065079.5
IND,1991,1092753.38
IND,1992,1155176.63
IND,1993,1240507.38
IND,1994,1328042.75
IND,1995,1427875.38
IND,1996,1551695.63
IND,1997,1647984
IND,1998,1765182.38
IND,1999,1884753.88
IND,2000,1982386.38
IND,2001,2091294
IND,2002,2211644.5
IND,2003,2412738.25
IND,2004,2599858.75
IND,2005,2894031.75
IND,2006,3166323.5
IND,2007,3491459.5
IND,2008,3698878.75
IND,2009,3992475
IND,2010,4404444.5
IND,2011,4686787.5
IRL,1950,13385.93
IRL,1951,12964.3
IRL,1952,13895.59
IRL,1953,14586.8
IRL,1954,14761.63
IRL,1955,14968.5
IRL,1956,14774.65
IRL,1957,14752.4
IRL,1958,14761.29
IRL,1959,15457.34
IRL,1960,16163.87
IRL,1961,16932.96
IRL,1962,17411.33
IRL,1963,18194.69
IRL,1964,19041.98
IRL,1965,19282.14
IRL,1966,19805.9
IRL,1967,21145.13
IRL,1968,22592.39
IRL,1969,23811.88
IRL,1970,24178.9
IRL,1971,25641.49
IRL,1972,27780.22
IRL,1973,30115.61
IRL,1974,28254.63
IRL,1975,30049.48
IRL,1976,31598.66
IRL,1977,33454.86
IRL,1978,37133.61
IRL,1979,38689.98
IRL,1980,40496.44
IRL,1981,41165.07
IRL,1982,41989.66
IRL,1983,42149.49
IRL,1984,42961.67
IRL,1985,43882.19
IRL,1986,45600.64
IRL,1987,47714.91
IRL,1988,49840.5
IRL,1989,53877.93
IRL,1990,57685.29
IRL,1991,58391.79
IRL,1992,60393.63
IRL,1993,63653.44
IRL,1994,68091.13
IRL,1995,76557.34
IRL,1996,82656.13
IRL,1997,93491.12
IRL,1998,105345.66
IRL,1999,113957.77
IRL,2000,124515.87
IRL,2001,129782.75
IRL,2002,138412.41
IRL,2003,142126.5
IRL,2004,147681.48
IRL,2005,156370.33
IRL,2006,170244.97
IRL,2007,186171.45
IRL,2008,172646.34
IRL,2009,158737.61
IRL,2010,161815.55
IRL,2011,166767.97
IRN,1950,
IRN,1951,
IRN,1952,
IRN,1953,
IRN,1954,
IRN,1955,30545.25
IRN,1956,32412.59
IRN,1957,36146.54
IRN,1958,40306.66
IRN,1959,45234.16
IRN,1960,45389.56
IRN,1961,46729.65
IRN,1962,48762.14
IRN,1963,50434.34
IRN,1964,51804.82
IRN,1965,57830.68
IRN,1966,62881.37
IRN,1967,69187.83
IRN,1968,76074.09
IRN,1969,79717.07
IRN,1970,87870.09
IRN,1971,101544.32
IRN,1972,114402.75
IRN,1973,141129.33
IRN,1974,222793.11
IRN,1975,219096.33
IRN,1976,231267.77
IRN,1977,206742.45
IRN,1978,171486.48
IRN,1979,170675.66
IRN,1980,138346.78
IRN,1981,128329.74
IRN,1982,136622.92
IRN,1983,142211.98
IRN,1984,136003.91
IRN,1985,129705.59
IRN,1986,113550.39
IRN,1987,113114.46
IRN,1988,112492.85
IRN,1989,118929.15
IRN,1990,144296.31
IRN,1991,169102.11
IRN,1992,193943.94
IRN,1993,237203.98
IRN,1994,247429.95
IRN,1995,261917.02
IRN,1996,310646.44
IRN,1997,326993.69
IRN,1998,335510.91
IRN,1999,388502.44
IRN,2000,435177.72
IRN,2001,471257.06
IRN,2002,554465.44
IRN,2003,626161.44
